count, time, location_odometry_pos_x, location_odometry_pos_y, location_odometry_pos_z, location_odometry_roll, location_odometry_pitch, location_odometry_yaw, 
1, 500, 0.000, 0.000, 0.000, 0.000, -0.000, 0.002, 
2, 1000, 0.008, 0.001, 0.000, 0.000, -0.000, 0.007, 
3, 1500, 0.015, 0.001, 0.000, 0.000, -0.000, 0.006, 
4, 2000, 0.020, 0.001, 0.000, 0.000, -0.000, 0.003, 
5, 2500, 0.024, 0.001, 0.000, 0.000, -0.000, 0.003, 
6, 3000, 0.118, 0.002, 0.000, 0.000, -0.000, 0.009, 
7, 3500, 0.356, 0.005, 0.000, 0.000, -0.000, 0.007, 
8, 4000, 0.641, -0.001, 0.000, 0.000, 0.000, -0.017, 
9, 4500, 0.976, -0.015, 0.000, 0.000, 0.000, -0.046, 
10, 5000, 1.416, -0.049, 0.000, 0.000, 0.000, -0.085, 
11, 5500, 1.907, -0.105, 0.000, 0.000, 0.000, -0.121, 
12, 6000, 2.403, -0.170, 0.000, 0.000, 0.000, -0.135, 
13, 6500, 2.894, -0.253, 0.000, 0.000, 0.000, -0.171, 
14, 7000, 3.378, -0.360, 0.000, 0.000, 0.000, -0.225, 
15, 7500, 3.858, -0.484, 0.000, 0.000, 0.000, -0.248, 
16, 8000, 4.350, -0.591, 0.000, 0.000, 0.000, -0.206, 
17, 8500, 4.839, -0.665, 0.000, 0.000, 0.000, -0.131, 
18, 9000, 5.330, -0.729, 0.000, 0.000, 0.000, -0.142, 
19, 9500, 5.819, -0.820, 0.000, 0.000, 0.000, -0.194, 
20, 10000, 6.306, -0.930, 0.000, 0.000, 0.000, -0.224, 
21, 10500, 6.784, -1.063, 0.000, 0.000, 0.000, -0.275, 
22, 11000, 7.267, -1.189, 0.000, 0.000, 0.000, -0.247, 
23, 11500, 7.756, -1.293, 0.000, 0.000, 0.000, -0.207, 
24, 12000, 8.247, -1.391, 0.000, 0.000, 0.000, -0.197, 
25, 12500, 8.735, -1.497, 0.000, 0.000, 0.000, -0.219, 
26, 13000, 9.227, -1.592, 0.000, 0.000, 0.000, -0.186, 
27, 13500, 9.723, -1.659, 0.000, 0.000, 0.000, -0.118, 
28, 14000, 10.223, -1.694, 0.000, 0.000, 0.000, -0.065, 
29, 14500, 10.722, -1.736, 0.000, 0.000, 0.000, -0.101, 
30, 15000, 11.219, -1.782, 0.000, 0.000, 0.000, -0.085, 
31, 15500, 11.718, -1.825, 0.000, 0.000, 0.000, -0.081, 
32, 16000, 12.218, -1.851, 0.000, 0.000, 0.000, -0.052, 
33, 16500, 12.715, -1.873, 0.000, 0.000, 0.000, -0.035, 
34, 17000, 13.214, -1.877, 0.000, 0.000, 0.000, -0.007, 
35, 17500, 13.712, -1.866, 0.000, 0.000, -0.000, 0.027, 
36, 18000, 14.212, -1.853, 0.000, 0.000, -0.000, 0.031, 
37, 18500, 14.710, -1.814, 0.000, 0.000, -0.000, 0.090, 
38, 19000, 15.206, -1.748, 0.000, 0.000, -0.000, 0.142, 
39, 19500, 15.699, -1.661, 0.000, 0.000, -0.000, 0.187, 
40, 20000, 16.184, -1.533, 0.000, 0.000, -0.000, 0.261, 
41, 20500, 16.668, -1.396, 0.000, 0.000, -0.000, 0.283, 
42, 21000, 17.146, -1.234, 0.000, 0.000, -0.000, 0.334, 
43, 21500, 17.613, -1.051, 0.000, 0.000, -0.000, 0.383, 
44, 22000, 18.072, -0.846, 0.000, 0.000, -0.000, 0.424, 
45, 22500, 18.518, -0.617, 0.000, 0.000, -0.000, 0.486, 
46, 23000, 18.951, -0.364, 0.000, 0.000, -0.000, 0.532, 
47, 23500, 19.381, -0.105, 0.000, 0.000, -0.000, 0.552, 
48, 24000, 19.815, 0.148, 0.000, 0.000, -0.000, 0.516, 
49, 24500, 20.247, 0.393, 0.000, 0.000, -0.000, 0.535, 
50, 25000, 20.656, 0.660, 0.000, 0.000, -0.000, 0.596, 
51, 25500, 21.042, 0.979, 0.000, 0.000, -0.000, 0.700, 
52, 26000, 21.397, 1.332, 0.000, 0.000, -0.000, 0.799, 
53, 26500, 21.729, 1.710, 0.000, 0.000, -0.000, 0.853, 
54, 27000, 22.050, 2.096, 0.000, 0.000, -0.000, 0.875, 
55, 27500, 22.374, 2.480, 0.000, 0.000, -0.000, 0.873, 
56, 28000, 22.686, 2.873, 0.000, 0.000, -0.000, 0.907, 
57, 28500, 22.988, 3.276, 0.000, 0.000, -0.000, 0.934, 
58, 29000, 23.283, 3.685, 0.000, 0.000, -0.000, 0.944, 
59, 29500, 23.580, 4.095, 0.000, 0.000, -0.000, 0.950, 
60, 30000, 23.869, 4.503, 0.000, 0.000, -0.000, 0.965, 
61, 30500, 24.134, 4.928, 0.000, 0.000, -0.000, 1.014, 
62, 31000, 24.398, 5.354, 0.000, 0.000, -0.000, 1.013, 
63, 31500, 24.665, 5.777, 0.000, 0.000, -0.000, 1.005, 
64, 32000, 24.951, 6.182, 0.000, 0.000, -0.000, 0.948, 
65, 32500, 25.259, 6.562, 0.000, 0.000, -0.000, 0.895, 
66, 33000, 25.549, 6.954, 0.000, 0.000, -0.000, 0.958, 
67, 33500, 25.818, 7.363, 0.000, 0.000, -0.000, 0.982, 
68, 34000, 26.104, 7.766, 0.000, 0.000, -0.000, 0.954, 
69, 34500, 26.381, 8.178, 0.000, 0.000, -0.000, 0.983, 
70, 35000, 26.642, 8.600, 0.000, 0.000, -0.000, 1.016, 
71, 35500, 26.914, 9.011, 0.000, 0.000, -0.000, 0.978, 
72, 36000, 27.202, 9.413, 0.000, 0.000, -0.000, 0.946, 
73, 36500, 27.499, 9.809, 0.000, 0.000, -0.000, 0.932, 
74, 37000, 27.785, 10.216, 0.000, 0.000, -0.000, 0.961, 
75, 37500, 28.059, 10.625, 0.000, 0.000, -0.000, 0.983, 
76, 38000, 28.339, 11.037, 0.000, 0.000, -0.000, 0.967, 
77, 38500, 28.626, 11.445, 0.000, 0.000, -0.000, 0.961, 
78, 39000, 28.907, 11.856, 0.000, 0.000, -0.000, 0.970, 
79, 39500, 29.184, 12.270, 0.000, 0.000, -0.000, 0.982, 
80, 40000, 29.452, 12.689, 0.000, 0.000, -0.000, 1.002, 
81, 40500, 29.708, 13.117, 0.000, 0.000, -0.000, 1.037, 
82, 41000, 29.954, 13.551, 0.000, 0.000, -0.000, 1.065, 
83, 41500, 30.176, 13.997, 0.000, 0.000, -0.000, 1.114, 
84, 42000, 30.365, 14.460, 0.000, 0.000, -0.000, 1.197, 
85, 42500, 30.540, 14.926, 0.000, 0.000, -0.000, 1.212, 
86, 43000, 30.735, 15.386, 0.000, 0.000, -0.000, 1.161, 
87, 43500, 30.911, 15.853, 0.000, 0.000, -0.000, 1.216, 
88, 44000, 31.093, 16.320, 0.000, 0.000, -0.000, 1.201, 
89, 44500, 31.256, 16.793, 0.000, 0.000, -0.000, 1.253, 
90, 45000, 31.409, 17.269, 0.000, 0.000, -0.000, 1.264, 
91, 45500, 31.560, 17.747, 0.000, 0.000, -0.000, 1.267, 
92, 46000, 31.699, 18.226, 0.000, 0.000, -0.000, 1.300, 
93, 46500, 31.818, 18.714, 0.000, 0.000, -0.000, 1.331, 
94, 47000, 31.940, 19.200, 0.000, 0.000, -0.000, 1.322, 
95, 47500, 32.062, 19.688, 0.000, 0.000, -0.000, 1.332, 
96, 48000, 32.168, 20.178, 0.000, 0.000, -0.000, 1.360, 
97, 48500, 32.266, 20.672, 0.000, 0.000, -0.000, 1.384, 
98, 49000, 32.359, 21.161, 0.000, 0.000, -0.000, 1.374, 
99, 49500, 32.442, 21.656, 0.000, 0.000, -0.000, 1.427, 
100, 50000, 32.485, 22.156, 0.000, 0.000, -0.000, 1.484, 
101, 50500, 32.521, 22.660, 0.000, 0.000, -0.000, 1.514, 
102, 51000, 32.546, 23.161, 0.000, 0.000, -0.000, 1.507, 
103, 51500, 32.608, 23.660, 0.000, 0.000, -0.000, 1.439, 
104, 52000, 32.697, 24.156, 0.000, 0.000, -0.000, 1.386, 
105, 52500, 32.789, 24.653, 0.000, 0.000, -0.000, 1.390, 
106, 53000, 32.870, 25.143, 0.000, 0.000, -0.000, 1.413, 
107, 53500, 32.906, 25.643, 0.000, 0.000, -0.000, 1.521, 
108, 54000, 32.910, 26.147, 0.000, 0.000, -0.000, 1.561, 
109, 54500, 32.914, 26.653, 0.000, 0.000, -0.000, 1.563, 
110, 55000, 32.926, 27.159, 0.000, 0.000, -0.000, 1.542, 
111, 55500, 32.915, 27.663, 0.000, 0.000, -0.000, 1.608, 
112, 56000, 32.887, 28.168, 0.000, 0.000, -0.000, 1.626, 
113, 56500, 32.858, 28.674, 0.000, 0.000, -0.000, 1.629, 
114, 57000, 32.821, 29.177, 0.000, 0.000, -0.000, 1.648, 
115, 57500, 32.779, 29.681, 0.000, 0.000, -0.000, 1.654, 
116, 58000, 32.742, 30.184, 0.000, 0.000, -0.000, 1.637, 
117, 58500, 32.707, 30.690, 0.000, 0.000, -0.000, 1.645, 
118, 59000, 32.660, 31.195, 0.000, 0.000, -0.000, 1.665, 
119, 59500, 32.619, 31.695, 0.000, 0.000, -0.000, 1.641, 
120, 60000, 32.591, 32.200, 0.000, 0.000, -0.000, 1.633, 
121, 60500, 32.558, 32.703, 0.000, 0.000, -0.000, 1.639, 
122, 61000, 32.520, 33.195, 0.000, 0.000, -0.000, 1.658, 
123, 61500, 32.442, 33.678, 0.000, 0.000, -0.000, 1.759, 
124, 62000, 32.291, 34.161, 0.000, 0.000, -0.000, 1.878, 
125, 62500, 32.140, 34.643, 0.000, 0.000, -0.000, 1.881, 
126, 63000, 31.979, 35.122, 0.000, 0.000, -0.000, 1.895, 
127, 63500, 31.816, 35.599, 0.000, 0.000, -0.000, 1.908, 
128, 64000, 31.629, 36.057, 0.000, 0.000, -0.000, 1.975, 
129, 64500, 31.427, 36.518, 0.000, 0.000, -0.000, 1.999, 
130, 65000, 31.265, 36.978, 0.000, 0.000, -0.000, 1.904, 
131, 65500, 31.080, 37.446, 0.000, 0.000, -0.000, 1.949, 
132, 66000, 30.879, 37.910, 0.000, 0.000, -0.000, 1.989, 
133, 66500, 30.658, 38.364, 0.000, 0.000, -0.000, 2.033, 
134, 67000, 30.433, 38.816, 0.000, 0.000, -0.000, 2.032, 
135, 67500, 30.204, 39.269, 0.000, 0.000, -0.000, 2.038, 
136, 68000, 29.979, 39.721, 0.000, 0.000, -0.000, 2.028, 
137, 68500, 29.768, 40.181, 0.000, 0.000, -0.000, 2.001, 
138, 69000, 29.562, 40.634, 0.000, 0.000, -0.000, 1.996, 
139, 69500, 29.354, 41.095, 0.000, 0.000, -0.000, 1.994, 
140, 70000, 29.135, 41.554, 0.000, 0.000, -0.000, 2.026, 
141, 70500, 28.898, 41.991, 0.000, 0.000, -0.000, 2.065, 
142, 71000, 28.640, 42.397, 0.000, 0.000, -0.000, 2.167, 
143, 71500, 28.329, 42.794, 0.000, 0.000, -0.000, 2.242, 
144, 72000, 28.010, 43.152, 0.000, 0.000, -0.000, 2.315, 
145, 72500, 27.766, 43.453, 0.000, 0.000, -0.000, 2.228, 
146, 73000, 27.551, 43.896, 0.000, 0.000, -0.000, 2.012, 
147, 73500, 27.345, 44.350, 0.000, 0.000, -0.000, 1.985, 
148, 74000, 27.168, 44.808, 0.000, 0.000, -0.000, 1.936, 
149, 74500, 26.940, 45.223, 0.000, 0.000, -0.000, 2.095, 
150, 75000, 26.668, 45.641, 0.000, 0.000, -0.000, 2.159, 
151, 75500, 26.359, 46.036, 0.000, 0.000, -0.000, 2.235, 
152, 76000, 26.041, 46.420, 0.000, 0.000, -0.000, 2.281, 
153, 76500, 25.704, 46.788, 0.000, 0.000, -0.000, 2.321, 
154, 77000, 25.369, 47.156, 0.000, 0.000, -0.000, 2.319, 
155, 77500, 25.015, 47.512, 0.000, 0.000, -0.000, 2.342, 
156, 78000, 24.662, 47.866, 0.000, 0.000, -0.000, 2.347, 
157, 78500, 24.317, 48.230, 0.000, 0.000, -0.000, 2.331, 
158, 79000, 23.979, 48.597, 0.000, 0.000, -0.000, 2.318, 
159, 79500, 23.650, 48.974, 0.000, 0.000, -0.000, 2.284, 
160, 80000, 23.325, 49.352, 0.000, 0.000, -0.000, 2.291, 
161, 80500, 22.987, 49.719, 0.000, 0.000, -0.000, 2.316, 
162, 81000, 22.636, 50.075, 0.000, 0.000, -0.000, 2.355, 
163, 81500, 22.270, 50.414, 0.000, 0.000, -0.000, 2.413, 
164, 82000, 21.889, 50.735, 0.000, 0.000, -0.000, 2.436, 
165, 82500, 21.518, 51.069, 0.000, 0.000, -0.000, 2.397, 
166, 83000, 21.140, 51.397, 0.000, 0.000, -0.000, 2.441, 
167, 83500, 20.756, 51.714, 0.000, 0.000, -0.000, 2.448, 
168, 84000, 20.369, 52.028, 0.000, 0.000, -0.000, 2.466, 
169, 84500, 19.970, 52.331, 0.000, 0.000, -0.000, 2.499, 
170, 85000, 19.565, 52.625, 0.000, 0.000, -0.000, 2.523, 
171, 85500, 19.153, 52.905, 0.000, 0.000, -0.000, 2.552, 
172, 86000, 18.739, 53.183, 0.000, 0.000, -0.000, 2.543, 
173, 86500, 18.319, 53.456, 0.000, 0.000, -0.000, 2.558, 
174, 87000, 17.895, 53.715, 0.000, 0.000, -0.000, 2.605, 
175, 87500, 17.452, 53.940, 0.000, 0.000, -0.000, 2.690, 
176, 88000, 17.004, 54.166, 0.000, 0.000, -0.000, 2.662, 
177, 88500, 16.572, 54.416, 0.000, 0.000, -0.000, 2.620, 
178, 89000, 16.144, 54.676, 0.000, 0.000, -0.000, 2.582, 
179, 89500, 15.731, 54.957, 0.000, 0.000, -0.000, 2.543, 
180, 90000, 15.315, 55.235, 0.000, 0.000, -0.000, 2.555, 
181, 90500, 14.900, 55.511, 0.000, 0.000, -0.000, 2.557, 
182, 91000, 14.478, 55.777, 0.000, 0.000, -0.000, 2.582, 
183, 91500, 14.049, 56.033, 0.000, 0.000, -0.000, 2.605, 
184, 92000, 13.622, 56.294, 0.000, 0.000, -0.000, 2.578, 
185, 92500, 13.205, 56.570, 0.000, 0.000, -0.000, 2.549, 
186, 93000, 12.789, 56.849, 0.000, 0.000, -0.000, 2.547, 
187, 93500, 12.383, 57.140, 0.000, 0.000, -0.000, 2.516, 
188, 94000, 11.976, 57.431, 0.000, 0.000, -0.000, 2.524, 
189, 94500, 11.573, 57.729, 0.000, 0.000, -0.000, 2.491, 
190, 95000, 11.188, 58.050, 0.000, 0.000, -0.000, 2.430, 
191, 95500, 10.815, 58.383, 0.000, 0.000, -0.000, 2.404, 
192, 96000, 10.464, 58.739, 0.000, 0.000, -0.000, 2.331, 
193, 96500, 10.107, 59.091, 0.000, 0.000, -0.000, 2.390, 
194, 97000, 9.725, 59.416, 0.000, 0.000, -0.000, 2.444, 
195, 97500, 9.331, 59.731, 0.000, 0.000, -0.000, 2.462, 
196, 98000, 8.932, 60.038, 0.000, 0.000, -0.000, 2.492, 
197, 98500, 8.639, 60.257, 0.000, 0.000, -0.000, 2.502, 
198, 99000, 8.410, 60.426, 0.000, 0.000, -0.000, 2.506, 
199, 99500, 8.080, 60.697, 0.000, 0.000, -0.000, 2.453, 
200, 100000, 7.704, 61.030, 0.000, 0.000, -0.000, 2.418, 
201, 100500, 7.335, 61.369, 0.000, 0.000, -0.000, 2.387, 
202, 101000, 6.974, 61.716, 0.000, 0.000, -0.000, 2.383, 
203, 101500, 6.616, 62.067, 0.000, 0.000, -0.000, 2.366, 
204, 102000, 6.264, 62.420, 0.000, 0.000, -0.000, 2.356, 
205, 102500, 5.903, 62.768, 0.000, 0.000, -0.000, 2.383, 
206, 103000, 5.520, 63.063, 0.000, 0.000, -0.000, 2.505, 
207, 103500, 5.329, 63.181, 0.000, 0.000, -0.000, 2.572, 
208, 104000, 5.239, 63.230, 0.000, 0.000, -0.000, 2.610, 
209, 104500, 5.204, 63.253, 0.000, 0.000, -0.000, 2.596, 
210, 105000, 5.156, 63.278, 0.000, 0.000, -0.000, 2.616, 
211, 105500, 5.147, 63.282, 0.000, 0.000, -0.000, 2.622, 
212, 106000, 5.135, 63.289, 0.000, 0.000, -0.000, 2.624, 
213, 106500, 5.116, 63.299, 0.000, 0.000, -0.000, 2.624, 
214, 107000, 5.106, 63.305, 0.000, 0.000, -0.000, 2.626, 
215, 107500, 5.097, 63.310, 0.000, 0.000, -0.000, 2.626, 
216, 108000, 5.087, 63.315, 0.000, 0.000, -0.000, 2.630, 
217, 108500, 5.081, 63.318, 0.000, 0.000, -0.000, 2.630, 
218, 109000, 5.075, 63.321, 0.000, 0.000, -0.000, 2.632, 
219, 109500, 4.978, 63.375, 0.000, 0.000, -0.000, 2.631, 
220, 110000, 4.778, 63.479, 0.000, 0.000, -0.000, 2.657, 
221, 110500, 4.559, 63.624, 0.000, 0.000, -0.000, 2.564, 
222, 111000, 4.302, 63.867, 0.000, 0.000, -0.000, 2.392, 
223, 111500, 4.008, 64.155, 0.000, 0.000, -0.000, 2.363, 
224, 112000, 3.669, 64.522, 0.000, 0.000, -0.000, 2.315, 
225, 112500, 3.335, 64.898, 0.000, 0.000, -0.000, 2.292, 
226, 113000, 3.005, 65.275, 0.000, 0.000, -0.000, 2.285, 
227, 113500, 2.661, 65.642, 0.000, 0.000, -0.000, 2.333, 
228, 114000, 2.302, 65.995, 0.000, 0.000, -0.000, 2.364, 
229, 114500, 1.941, 66.344, 0.000, 0.000, -0.000, 2.379, 
230, 115000, 1.572, 66.685, 0.000, 0.000, -0.000, 2.396, 
231, 115500, 1.202, 67.026, 0.000, 0.000, -0.000, 2.401, 
232, 116000, 0.854, 67.366, 0.000, 0.000, -0.000, 2.359, 
233, 116500, 0.548, 67.730, 0.000, 0.000, -0.000, 2.241, 
234, 117000, 0.261, 68.145, 0.000, 0.000, -0.000, 2.181, 
235, 117500, -0.018, 68.563, 0.000, 0.000, -0.000, 2.160, 
236, 118000, -0.298, 68.981, 0.000, 0.000, -0.000, 2.160, 
237, 118500, -0.578, 69.397, 0.000, 0.000, -0.000, 2.163, 
238, 119000, -0.867, 69.810, 0.000, 0.000, -0.000, 2.190, 
239, 119500, -1.167, 70.212, 0.000, 0.000, -0.000, 2.215, 
240, 120000, -1.478, 70.607, 0.000, 0.000, -0.000, 2.237, 
241, 120500, -1.793, 70.999, 0.000, 0.000, -0.000, 2.250, 
242, 121000, -2.082, 71.410, 0.000, 0.000, -0.000, 2.167, 
243, 121500, -2.369, 71.824, 0.000, 0.000, -0.000, 2.192, 
244, 122000, -2.672, 72.224, 0.000, 0.000, -0.000, 2.215, 
245, 122500, -2.964, 72.632, 0.000, 0.000, -0.000, 2.183, 
246, 123000, -3.253, 73.037, 0.000, 0.000, -0.000, 2.202, 
247, 123500, -3.525, 73.366, 0.000, 0.000, -0.000, 2.277, 
248, 124000, -3.803, 73.634, 0.000, 0.000, -0.000, 2.383, 
249, 124500, -4.028, 73.832, 0.000, 0.000, -0.000, 2.408, 
250, 125000, -4.238, 74.017, 0.000, 0.000, -0.000, 2.421, 
251, 125500, -4.439, 74.198, 0.000, 0.000, -0.000, 2.410, 
252, 126000, -4.638, 74.386, 0.000, 0.000, -0.000, 2.391, 
253, 126500, -4.836, 74.569, 0.000, 0.000, -0.000, 2.393, 
254, 127000, -5.030, 74.750, 0.000, 0.000, -0.000, 2.396, 
255, 127500, -5.233, 74.925, 0.000, 0.000, -0.000, 2.424, 
256, 128000, -5.447, 75.107, 0.000, 0.000, -0.000, 2.438, 
257, 128500, -5.702, 75.308, 0.000, 0.000, -0.000, 2.472, 
258, 129000, -5.936, 75.483, 0.000, 0.000, -0.000, 2.492, 
259, 129500, -6.172, 75.662, 0.000, 0.000, -0.000, 2.514, 
260, 130000, -6.490, 75.865, 0.000, 0.000, -0.000, 2.570, 
261, 130500, -6.845, 76.074, 0.000, 0.000, -0.000, 2.613, 
262, 131000, -7.251, 76.292, 0.000, 0.000, -0.000, 2.661, 
263, 131500, -7.685, 76.492, 0.000, 0.000, -0.000, 2.717, 
264, 132000, -8.149, 76.683, 0.000, 0.000, -0.000, 2.750, 
265, 132500, -8.493, 76.836, 0.000, 0.000, -0.000, 2.716, 
266, 133000, -8.709, 76.950, 0.000, 0.000, -0.000, 2.666, 
267, 133500, -8.920, 77.082, 0.000, 0.000, -0.000, 2.595, 
268, 134000, -9.138, 77.222, 0.000, 0.000, -0.000, 2.578, 
269, 134500, -9.469, 77.435, 0.000, 0.000, -0.000, 2.569, 
270, 135000, -9.895, 77.697, 0.000, 0.000, -0.000, 2.599, 
271, 135500, -10.323, 77.959, 0.000, 0.000, -0.000, 2.586, 
272, 136000, -10.742, 78.233, 0.000, 0.000, -0.000, 2.539, 
273, 136500, -11.133, 78.550, 0.000, 0.000, -0.000, 2.460, 
274, 137000, -11.505, 78.885, 0.000, 0.000, -0.000, 2.400, 
275, 137500, -11.875, 79.223, 0.000, 0.000, -0.000, 2.391, 
276, 138000, -12.230, 79.577, 0.000, 0.000, -0.000, 2.352, 
277, 138500, -12.573, 79.947, 0.000, 0.000, -0.000, 2.311, 
278, 139000, -12.908, 80.318, 0.000, 0.000, -0.000, 2.314, 
279, 139500, -13.251, 80.682, 0.000, 0.000, -0.000, 2.336, 
280, 140000, -13.608, 81.035, 0.000, 0.000, -0.000, 2.365, 
281, 140500, -13.970, 81.383, 0.000, 0.000, -0.000, 2.378, 
282, 141000, -14.329, 81.736, 0.000, 0.000, -0.000, 2.356, 
283, 141500, -14.691, 82.084, 0.000, 0.000, -0.000, 2.389, 
284, 142000, -15.032, 82.451, 0.000, 0.000, -0.000, 2.303, 
285, 142500, -15.355, 82.836, 0.000, 0.000, -0.000, 2.273, 
286, 143000, -15.673, 83.222, 0.000, 0.000, -0.000, 2.265, 
287, 143500, -16.000, 83.602, 0.000, 0.000, -0.000, 2.287, 
288, 144000, -16.344, 83.969, 0.000, 0.000, -0.000, 2.329, 
289, 144500, -16.681, 84.335, 0.000, 0.000, -0.000, 2.320, 
290, 145000, -17.027, 84.696, 0.000, 0.000, -0.000, 2.346, 
291, 145500, -17.350, 85.076, 0.000, 0.000, -0.000, 2.261, 
292, 146000, -17.657, 85.473, 0.000, 0.000, -0.000, 2.233, 
293, 146500, -17.956, 85.869, 0.000, 0.000, -0.000, 2.219, 
294, 147000, -18.283, 86.248, 0.000, 0.000, -0.000, 2.293, 
295, 147500, -18.632, 86.601, 0.000, 0.000, -0.000, 2.351, 
296, 148000, -18.960, 86.981, 0.000, 0.000, -0.000, 2.271, 
297, 148500, -19.276, 87.369, 0.000, 0.000, -0.000, 2.255, 
298, 149000, -19.591, 87.759, 0.000, 0.000, -0.000, 2.253, 
299, 149500, -19.892, 88.155, 0.000, 0.000, -0.000, 2.231, 
300, 150000, -20.197, 88.556, 0.000, 0.000, -0.000, 2.220, 
301, 150500, -20.511, 88.949, 0.000, 0.000, -0.000, 2.251, 
302, 151000, -20.836, 89.329, 0.000, 0.000, -0.000, 2.271, 
303, 151500, -21.152, 89.719, 0.000, 0.000, -0.000, 2.245, 
304, 152000, -21.463, 90.112, 0.000, 0.000, -0.000, 2.242, 
305, 152500, -21.768, 90.511, 0.000, 0.000, -0.000, 2.221, 
306, 153000, -22.071, 90.913, 0.000, 0.000, -0.000, 2.220, 
307, 153500, -22.360, 91.323, 0.000, 0.000, -0.000, 2.178, 
308, 154000, -22.645, 91.734, 0.000, 0.000, -0.000, 2.178, 
309, 154500, -22.917, 92.158, 0.000, 0.000, -0.000, 2.139, 
310, 155000, -23.164, 92.595, 0.000, 0.000, -0.000, 2.087, 
311, 155500, -23.413, 93.025, 0.000, 0.000, -0.000, 2.106, 
312, 156000, -23.687, 93.446, 0.000, 0.000, -0.000, 2.163, 
313, 156500, -23.985, 93.854, 0.000, 0.000, -0.000, 2.200, 
314, 157000, -24.284, 94.256, 0.000, 0.000, -0.000, 2.209, 
315, 157500, -24.577, 94.665, 0.000, 0.000, -0.000, 2.188, 
316, 158000, -24.870, 95.072, 0.000, 0.000, -0.000, 2.194, 
317, 158500, -25.163, 95.481, 0.000, 0.000, -0.000, 2.186, 
318, 159000, -25.432, 95.905, 0.000, 0.000, -0.000, 2.130, 
319, 159500, -25.696, 96.333, 0.000, 0.000, -0.000, 2.128, 
320, 160000, -25.967, 96.756, 0.000, 0.000, -0.000, 2.137, 
321, 160500, -26.237, 97.183, 0.000, 0.000, -0.000, 2.139, 
322, 161000, -26.506, 97.609, 0.000, 0.000, -0.000, 2.129, 
323, 161500, -26.770, 98.039, 0.000, 0.000, -0.000, 2.119, 
324, 162000, -27.027, 98.470, 0.000, 0.000, -0.000, 2.101, 
325, 162500, -27.281, 98.906, 0.000, 0.000, -0.000, 2.105, 
326, 163000, -27.540, 99.338, 0.000, 0.000, -0.000, 2.100, 
327, 163500, -27.789, 99.779, 0.000, 0.000, -0.000, 2.089, 
328, 164000, -28.036, 100.209, 0.000, 0.000, -0.000, 2.086, 
329, 164500, -28.286, 100.642, 0.000, 0.000, -0.000, 2.099, 
330, 165000, -28.522, 101.081, 0.000, 0.000, -0.000, 2.058, 
331, 165500, -28.758, 101.519, 0.000, 0.000, -0.000, 2.074, 
332, 166000, -29.004, 101.953, 0.000, 0.000, -0.000, 2.079, 
333, 166500, -29.254, 102.381, 0.000, 0.000, -0.000, 2.117, 
334, 167000, -29.524, 102.804, 0.000, 0.000, -0.000, 2.130, 
335, 167500, -29.785, 103.229, 0.000, 0.000, -0.000, 2.113, 
336, 168000, -30.024, 103.667, 0.000, 0.000, -0.000, 2.076, 
337, 168500, -30.270, 104.102, 0.000, 0.000, -0.000, 2.080, 
338, 169000, -30.521, 104.533, 0.000, 0.000, -0.000, 2.103, 
339, 169500, -30.774, 104.962, 0.000, 0.000, -0.000, 2.100, 
340, 170000, -31.026, 105.394, 0.000, 0.000, -0.000, 2.094, 
341, 170500, -31.275, 105.826, 0.000, 0.000, -0.000, 2.111, 
342, 171000, -31.548, 106.246, 0.000, 0.000, -0.000, 2.145, 
343, 171500, -31.789, 106.684, 0.000, 0.000, -0.000, 2.064, 
344, 172000, -32.024, 107.126, 0.000, 0.000, -0.000, 2.057, 
345, 172500, -32.247, 107.576, 0.000, 0.000, -0.000, 2.025, 
346, 173000, -32.467, 108.022, 0.000, 0.000, -0.000, 2.038, 
347, 173500, -32.704, 108.462, 0.000, 0.000, -0.000, 2.063, 
348, 174000, -32.940, 108.903, 0.000, 0.000, -0.000, 2.066, 
349, 174500, -33.177, 109.343, 0.000, 0.000, -0.000, 2.064, 
350, 175000, -33.406, 109.790, 0.000, 0.000, -0.000, 2.042, 
351, 175500, -33.621, 110.242, 0.000, 0.000, -0.000, 1.999, 
352, 176000, -33.834, 110.695, 0.000, 0.000, -0.000, 2.015, 
353, 176500, -34.052, 111.144, 0.000, 0.000, -0.000, 2.019, 
354, 177000, -34.269, 111.596, 0.000, 0.000, -0.000, 2.017, 
355, 177500, -34.488, 112.046, 0.000, 0.000, -0.000, 2.028, 
356, 178000, -34.712, 112.494, 0.000, 0.000, -0.000, 2.033, 
357, 178500, -34.938, 112.941, 0.000, 0.000, -0.000, 2.040, 
358, 179000, -35.174, 113.384, 0.000, 0.000, -0.000, 2.064, 
359, 179500, -35.421, 113.818, 0.000, 0.000, -0.000, 2.087, 
360, 180000, -35.662, 114.256, 0.000, 0.000, -0.000, 2.070, 
361, 180500, -35.896, 114.698, 0.000, 0.000, -0.000, 2.059, 
362, 181000, -36.132, 115.139, 0.000, 0.000, -0.000, 2.061, 
363, 181500, -36.365, 115.582, 0.000, 0.000, -0.000, 2.053, 
364, 182000, -36.593, 116.029, 0.000, 0.000, -0.000, 2.042, 
365, 182500, -36.824, 116.475, 0.000, 0.000, -0.000, 2.047, 
366, 183000, -37.053, 116.921, 0.000, 0.000, -0.000, 2.039, 
