mapID, count, time, abs_prox_x, abs_prox_y, abs_prox_z, 

1, 64, 32000, 14.944, -6.944, -0.011, 
1, 1076, 538000, -126.265, -51.307,  0.164, 

1, 64, 32000, 16.995,  2.220,  0.374, 
1, 1076, 538000, -116.411, -57.731,  0.074, 

1, 63, 31500, 15.566,  4.481,  0.564, 
1, 1077, 538500, -116.512, -57.851, -0.106, 

1, 63, 31500, 26.778, -2.850,  1.147, 
1, 1077, 538500, -123.954, -52.153,  0.151, 

1, 62, 31000, 14.452, -8.310,  0.086, 
1, 1078, 539000, -119.064, -46.966,  0.380, 

1, 62, 31000, 15.371,  4.553,  0.574, 
1, 1078, 539000, -116.536, -57.942, -0.107, 

1, 61, 30500, 14.852, -6.960, -0.011, 
1, 1079, 539500, -124.622, -50.613,  0.373, 

1, 61, 30500, 16.756,  2.315,  0.078, 
1, 1079, 539500, -116.721, -58.203, -0.011, 

1, 60, 30000, 14.828, -6.979,  0.074, 
1, 1080, 540000, -124.602, -50.410,  0.220, 

1, 60, 30000, 16.758,  2.284,  0.532, 
1, 1080, 540000, -114.081, -57.975,  0.390, 

1, 59, 29500, 11.721,  0.368,  0.147, 
1, 1081, 540500, -116.048, -53.145,  0.050, 

1, 59, 29500, 14.951,  4.717,  0.199, 
1, 1081, 540500, -114.117, -58.041,  0.578, 

1, 58, 29000, 23.680,  3.427,  1.021, 
1, 1082, 541000, -116.011, -53.023,  0.093, 

1, 57, 28500, 11.755,  0.281,  0.181, 
1, 1083, 541500, -116.088, -53.123,  0.123, 

1, 57, 28500, 23.167, -9.622, -0.553, 
1, 1083, 541500, -123.822, -46.679, -0.015, 

1, 56, 28000, 11.382,  0.471,  0.095, 
1, 1084, 542000, -116.072, -53.070,  0.149, 

1, 56, 28000,  9.024, -9.083, -0.015, 
1, 1084, 542000, -122.716, -45.736, -0.015, 

1, 55, 27500, 10.956,  0.697,  0.125, 
1, 1085, 542500, -116.044, -53.036,  0.210, 

1, 55, 27500,  8.554, -8.935,  0.098, 
1, 1085, 542500, -123.948, -46.822, -0.140, 

1, 54, 27000,  8.292, -3.993, -0.157, 
1, 1086, 543000, -117.887, -47.877, -0.007, 

1, 54, 27000,  8.718, -8.968, -0.015, 
1, 1086, 543000, -122.469, -45.496, -0.015, 

1, 54, 27000, 10.691,  0.889,  0.135, 
1, 1086, 543000, -115.925, -52.902,  0.166, 

1, 53, 26500,  8.073, -3.603, -0.139, 
1, 1087, 543500, -117.755, -47.847, -0.060, 

1, 53, 26500, 10.843,  0.710,  0.112, 
1, 1087, 543500, -115.900, -52.839,  0.135, 

1, 52, 26000,  7.662, -3.495,  0.098, 
1, 1088, 544000, -117.785, -47.891, -0.102, 

1, 51, 25500, 10.584,  0.818,  0.296, 
1, 1089, 544500, -115.343, -52.675, -0.105, 

1, 51, 25500,  7.534, -3.464, -0.235, 
1, 1089, 544500, -117.733, -47.845, -0.099, 

1, 51, 25500, 13.979, -8.159,  0.120, 
1, 1089, 544500, -122.477, -45.405, -0.141, 

1, 50, 25000,  6.924, -3.321, -0.132, 
1, 1090, 545000, -117.653, -47.830, -0.131, 

1, 49, 24500,  6.459, -3.301, -0.046, 
1, 1091, 545500, -117.379, -47.575, -0.235, 

1, 48, 24000,  5.699, -3.089,  0.164, 
1, 1092, 546000, -116.879, -47.061, -0.133, 

1, 48, 24000, 14.306,  4.891,  0.862, 
1, 1092, 546000, -108.676, -52.955,  0.227, 

1, 47, 23500,  5.036, -2.878,  0.092, 
1, 1093, 546500, -116.823, -47.020, -0.220, 

1, 47, 23500, 14.392,  4.959,  0.647, 
1, 1093, 546500, -108.685, -53.001,  0.497, 

1, 46, 23000,  5.105, -2.838,  0.090, 
1, 1094, 547000, -116.478, -47.537, -0.090, 

1, 46, 23000,  4.631, -2.745, -0.085, 
1, 1094, 547000, -115.487, -45.741,  0.258, 

1, 46, 23000,  7.747,  6.671,  0.214, 
1, 1094, 547000, -109.339, -45.976,  0.520, 

1, 45, 22500,  4.668, -2.749, -0.086, 
1, 1095, 547500, -116.389, -46.405,  0.065, 

1, 44, 22000,  4.688, -2.777, -0.089, 
1, 1096, 548000, -116.246, -46.305,  0.198, 

1, 43, 21500,  4.736, -2.704, -0.007, 
1, 1097, 548500, -116.049, -46.061, -0.274, 

1, 43, 21500,  7.266,  6.889,  0.102, 
1, 1097, 548500, -108.665, -53.016,  0.686, 

1, 42, 21000, 10.369,  1.471,  0.374, 
1, 1098, 549000, -108.581, -53.040,  0.216, 

1, 42, 21000,  4.542, -2.730, -0.105, 
1, 1098, 549000, -115.431, -45.787, -0.439, 

1, 42, 21000,  3.008, -3.703, -0.350, 
1, 1098, 549000, -114.883, -43.298,  0.293, 

1, 41, 20500,  2.653, -3.812,  0.232, 
1, 1099, 549500, -114.877, -42.171, -0.014, 

1, 41, 20500,  3.785, -3.189, -0.189, 
